id,aligned_class,aligned_score,aligned_max_probability,unaligned_class,unaligned_score,unaligned_max_probability,class_agrees,score_difference_unaligned_minus_aligned,aligned_missing_type,aligned_missing_ratio,unaligned_missing_type,unaligned_missing_ratio
附件3_01,Negative,-0.716226,0.8984,Negative,-0.983661,0.850352,True,-0.267435,none,0.0,AV,0.085106
附件3_02,Neutral,-0.146005,0.795051,Neutral,-0.146259,0.815429,True,-0.0002540000000000042,AV,0.116279,A,0.007692
附件3_03,Neutral,0.030465,0.712068,Neutral,0.216397,0.721502,True,0.18593200000000001,AV,0.142857,V,0.156716
附件3_04,Neutral,0.043654,0.525106,Neutral,0.188598,0.532066,True,0.144944,AV,0.042105,none,0.0
附件3_05,Negative,-1.635893,0.912346,Negative,-0.460695,0.738653,True,1.175198,none,0.0,AV,0.052632
附件3_06,Positive,0.982168,0.649833,Positive,1.155092,0.650464,True,0.17292399999999997,AV,0.077922,AV,0.03937
附件3_07,Positive,0.256781,0.539818,Neutral,0.105986,0.536872,False,-0.15079499999999998,AV,0.092308,none,0.0
附件3_08,Positive,0.39234,0.503026,Neutral,0.387989,0.476422,False,-0.004351000000000049,AV,0.085106,V,0.017094
附件3_09,Positive,1.245645,0.95072,Positive,0.857935,0.818453,True,-0.3877099999999999,AV,0.090909,V,0.025862
附件3_10,Neutral,0.318593,0.860916,Neutral,0.108144,0.839882,True,-0.210449,none,0.0,AV,0.089109
附件3_11,Positive,0.070751,0.441867,Positive,0.238148,0.471153,True,0.16739700000000002,AV,0.181818,AV,0.133929
附件3_12,Neutral,0.206294,0.51186,Positive,1.06676,0.751733,False,0.860466,AV,0.097561,AV,0.069565
附件3_13,Positive,0.518315,0.403468,Positive,0.698963,0.494608,True,0.18064800000000003,AV,0.067797,V,0.008264
附件3_14,Negative,-0.699279,0.855856,Negative,-0.253299,0.762576,True,0.44598,AV,0.056338,A,0.008
附件3_15,Positive,0.46195,0.670852,Positive,0.83323,0.734222,True,0.37128,AV,0.072289,V,0.015504
附件3_16,Positive,1.399129,0.926385,Positive,1.681124,0.919057,True,0.281995,AV,0.076923,none,0.0
附件3_17,Negative,-0.352227,0.464598,Negative,-0.161441,0.427943,True,0.190786,AV,0.235294,V,0.024194
附件3_18,Positive,0.59538,0.616957,Positive,0.825588,0.609847,True,0.23020799999999997,AV,0.113208,V,0.008403
附件3_19,Negative,-0.830533,0.656627,Negative,-0.898197,0.869233,True,-0.06766400000000006,AV,0.189189,V,0.015873
附件3_20,Neutral,-0.442239,0.497194,Neutral,0.387376,0.489948,True,0.829615,AV,0.191781,V,0.006667
附件3_21,Positive,0.522208,0.607498,Positive,0.654004,0.695111,True,0.13179600000000002,AV,0.206897,AV,0.252252
附件3_22,Positive,0.199618,0.448283,Negative,-0.231093,0.490555,False,-0.43071099999999996,AV,0.150943,AV,0.245455
附件3_23,Neutral,0.568549,0.597986,Positive,1.48256,0.902764,False,0.9140110000000001,AV,0.195122,AV,0.173913
附件3_24,Negative,0.549381,0.572678,Positive,1.252795,0.699338,False,0.7034140000000001,AV,0.153846,AV,0.186916
附件3_25,Neutral,-0.22738,0.829989,Positive,0.403882,0.509513,False,0.631262,AV,0.137931,AV,0.247525
附件3_26,Positive,0.679582,0.823802,Neutral,0.587654,0.550644,False,-0.09192800000000001,AV,0.176471,AV,0.024194
附件3_27,Positive,0.683185,0.762504,Positive,0.750912,0.654823,True,0.06772699999999998,AV,0.246154,none,0.0
附件3_28,Positive,0.382662,0.506267,Positive,0.900534,0.700542,True,0.5178719999999999,AV,0.217822,AV,0.02963
附件3_29,Positive,0.325645,0.647787,Positive,1.58314,0.939605,True,1.257495,AV,0.285714,AV,0.166667
附件3_30,Neutral,0.366694,0.584524,Neutral,0.886952,0.507283,True,0.5202579999999999,AV,0.324324,V,0.111111
