modality,target_missing_ratio,actual_missing_ratio,n_seeds,accuracy_mean,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,delta_macro_f1,delta_mae
T,0.1,0.09389183468666377,5,0.6282967032967033,0.6221043285282537,0.0024100975319180837,0.6291506824489161,0.0007845239179414655,-0.007679732082606638,0.001287076893584982
T,0.2,0.1802691483133278,5,0.6214285714285714,0.6146874413584965,0.003614165531420083,0.6291440683028119,0.004295101648979935,-0.01509661925236383,0.0012804627474807262
T,0.3,0.26939294380801065,5,0.6186813186813187,0.6127507204119454,0.005696012346505066,0.6310603499295162,0.005680501778326398,-0.017033340198914892,0.0031967443741850454
T,0.4,0.3580623452480023,5,0.6082417582417583,0.6028572489201627,0.010680472327404688,0.6326194167264756,0.006680055670680505,-0.02692681169069766,0.004755811171144431
T,0.5,0.44845298755463664,5,0.6024725274725274,0.5975118907938965,0.005838228270037355,0.6378278093808778,0.007272724536196471,-0.03227216981696379,0.009964203825546636
A,0.1,0.1058550570671866,5,0.6329670329670329,0.6269688851407258,0.0025029872257439183,0.6278024127529385,0.0008720243710517806,-0.0028151754701345455,-6.119280239269553e-05
A,0.2,0.20061769281196726,5,0.6302197802197802,0.6246286204626637,0.0018974979360047138,0.6277056315702074,0.0014582377865835529,-0.005155440148196688,-0.00015797398512373828
A,0.3,0.2993212751225456,5,0.6288461538461538,0.6237563001391799,0.003807930940195279,0.628113463655457,0.0018873813731033493,-0.00602776047168041,0.00024985810012578824
A,0.4,0.39708771585271907,5,0.6288461538461538,0.6238982181206072,0.0034726538079506587,0.6290379498087082,0.0019255421682083705,-0.005885842490253146,0.0011743442533770354
A,0.5,0.49757687366762005,5,0.6252747252747253,0.6209934144863886,0.0027177062888317457,0.6306194343642846,0.0013312005280795272,-0.00879064612447178,0.00275582880895342
V,0.1,0.10566389190217296,5,0.6302197802197802,0.6239970281219308,0.0016619535366213306,0.6276580875726023,0.0006978718423556508,-0.005787032488929533,-0.00020551798272883115
V,0.2,0.19667346990452364,5,0.6277472527472527,0.6216698023488545,0.0012720878392192556,0.6272726735014438,0.0007363814610722087,-0.008114258262005847,-0.000590932053887383
