modality,position,macro_f1_mean,mae_mean,delta_macro_f1,delta_mae
T,start,0.6192120496353632,0.6385413446642425,-0.010572010975497093,0.010677739108911344
T,middle,0.599268797800667,0.629569881628421,-0.030515262810193344,0.0017062760730898185
T,end,0.6051987014212787,0.6331321202822677,-0.0245853591895816,0.005268514726936568
T,random,0.609982326002551,0.6319604653577195,-0.019801734608309363,0.004096859802388386
A,start,0.6239080396038019,0.6298620606189566,-0.0058760210070584185,0.001998455063625393
A,middle,0.6220113714158827,0.6290456888798093,-0.007772689194977644,0.0011820833244781115
A,end,0.6250143474774069,0.6272107806968551,-0.004769713133453424,-0.0006528248584760643
A,random,0.6240490876699131,0.6286557784303192,-0.005734972940947269,0.0007921728749880064
V,start,0.6219152020311778,0.6265563736531876,-0.007868858579682558,-0.0013072319021435463
V,middle,0.6217656971688126,0.6278946984058776,-0.00801836344204776,3.1092850546476924e-05
V,end,0.6206795672348187,0.6299102500592778,-0.009104493376041689,0.0020466445039466485
V,random,0.6218760556986164,0.6276635085688622,-0.007908004912243971,-0.00020009698646894503
TA,start,0.6184696064998875,0.6423736804864717,-0.011314454110972871,0.014510074931140537
TA,middle,0.5962890433570173,0.6309921843629487,-0.033495017253843073,0.0031285788076175214
TA,end,0.605565051925365,0.6329975218767017,-0.024219008685495313,0.005133916321370502
TA,random,0.6048126152778309,0.6333357903030687,-0.02497144533302942,0.005472184747737585
TV,start,0.6211897415176578,0.6359402745274205,-0.008594319093202518,0.008076668972089363
TV,middle,0.5981240037585246,0.6278510985852176,-0.03166005685233575,-1.2506970113568272e-05
TV,end,0.602050942021216,0.6327488234268237,-0.027733118589644334,0.004885217871492542
TV,random,0.6080695044636952,0.6298044844043817,-0.02171455614716511,0.0019408788490505868
AV,start,0.6214326689986109,0.6269013009123967,-0.008351391612249404,-0.0009623046429344528
AV,middle,0.6196837766074907,0.6275066639594465,-0.010100284003369597,-0.00035694159588461893
AV,end,0.6227474638463092,0.628851553102716,-0.007036596764551151,0.0009879475473848487
AV,random,0.6208893819131506,0.6263360096292139,-0.008894678697709768,-0.0015275959261172867
TAV,start,0.6180773166711283,0.637522340310094,-0.011706743939732034,0.009658734754762865
TAV,middle,0.5963788419515439,0.6281564820143662,-0.03340521865931645,0.0002928764590350852
TAV,end,0.6023836441606246,0.6329782819388188,-0.02740041645023572,0.005114676383487615
TAV,random,0.6047843066347804,0.6299637870592062,-0.024999753976079897,0.0021001815038750316
