modality,position,macro_f1_mean,mae_mean,delta_macro_f1,delta_mae
T,start,0.6228754889098727,0.6319500314767708,-0.0074214518892361525,0.011463070835644351
T,middle,0.6201943688511049,0.6136870485361714,-0.010102571948003902,-0.006799912104955008
T,end,0.6190934014536681,0.6217471722395104,-0.011203539345440716,0.0012602115983839646
T,random,0.62017008745147,0.6212880581785454,-0.010126853347638853,0.000801097537418971
A,start,0.6276848574815429,0.6259999568887876,-0.0026120833175659053,0.005512996247661217
A,middle,0.626954377342528,0.6248820439413135,-0.003342563456580794,0.004395083300187119
A,end,0.6293356940778855,0.625217767965348,-0.00096124672122333,0.0047308073242215976
A,random,0.6269122760458266,0.6251141211514074,-0.0033846647532822516,0.004627160510281003
V,start,0.6259103975183248,0.6224290912548416,-0.004386543280784028,0.0019421306137151761
V,middle,0.6282034929680116,0.623451421808056,-0.002093447831097217,0.0029644611669296106
V,end,0.6307081108879006,0.6239040130586875,0.000411170088791768,0.003417052417561073
V,random,0.6283404761054768,0.6233355822487846,-0.0019564646936319763,0.002848621607658197
TA,start,0.6181585462157853,0.6334962541953555,-0.012138394583323553,0.013009293554229084
TA,middle,0.6213726733074983,0.6146960183586938,-0.00892426749161046,-0.0057909422824325985
TA,end,0.6163003988802562,0.6227045678361549,-0.013996541918852579,0.0022176071950285037
TA,random,0.614497513006153,0.6203367251858044,-0.015799427792955845,-0.0001502354553220009
TV,start,0.6196164378804981,0.6329031946095971,-0.010680502918610668,0.012416233968470691
TV,middle,0.6171193753259189,0.614740668676901,-0.013177565473189934,-0.005746291964225381
TV,end,0.614500876137644,0.6235185527841428,-0.01579606466146477,0.003031592143016404
TV,random,0.6196337114414767,0.6202836524945387,-0.010663229357632087,-0.0002033081465877551
AV,start,0.6246751608308825,0.63108227971844,-0.005621779968226326,0.010595319077313592
AV,middle,0.6299857487973354,0.6315549299542429,-0.0003111920017734304,0.011067969313116488
AV,end,0.6278164051356528,0.631970911006543,-0.0024805356634559628,0.011483950365416606
AV,random,0.626862296026621,0.6303510299252071,-0.0034346447724877827,0.009864069284080679
TAV,start,0.6182502910865126,0.6362899177659438,-0.012046649712596169,0.015802957124817385
TAV,middle,0.6185755656501299,0.6168724629688358,-0.011721375148978863,-0.0036144976722906064
TAV,end,0.6115536226792802,0.6262485598381238,-0.018743318119828656,0.005761599196997369
TAV,random,0.621845276793285,0.6244705031027731,-0.008451664005823756,0.003983542461646672
