modality,target_missing_ratio,actual_missing_ratio_mean,accuracy_mean,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd
T,0.1,0.09389183468666377,0.6434065934065935,0.6257876994009608,0.002608477995566924,0.6209608746715245,0.0025228629057893618
T,0.2,0.1802691483133278,0.6436813186813187,0.6266478681082002,0.004491228982638959,0.621357244176913,0.0034414360231907267
T,0.3,0.26939294380801065,0.6392857142857142,0.6219943084490057,0.005459650446292768,0.6210115509697142,0.004314756495020804
T,0.4,0.3580623452480023,0.6343406593406593,0.6168524105434029,0.006799411846686204,0.6219801948904725,0.004430050749620689
T,0.5,0.44845298755463664,0.6274725274725275,0.60956815075578,0.002645505218916755,0.6211304261841029,0.002847055616020824
A,0.1,0.1058550570671866,0.6486263736263737,0.6304593150374044,0.0010271910911493437,0.6213190707125429,0.0004506647671584918
A,0.2,0.20061769281196726,0.646978021978022,0.6286534430806812,0.0026009854163105296,0.6228700889144629,0.0006249176990823663
A,0.3,0.2993212751225456,0.6450549450549451,0.626638588368558,0.00251049579097607,0.624642654845285,0.0008021517831040719
A,0.4,0.39708771585271907,0.643956043956044,0.6247250687198107,0.0017367120392080282,0.6268373721836654,0.0006305821089685772
A,0.5,0.49757687366762005,0.6434065934065935,0.6240849650226782,0.001106081825389377,0.6299014191010809,0.0009849828132888804
V,0.1,0.10566389190217296,0.6453296703296704,0.6278417834155612,0.0017780369730362722,0.6211579818490274,0.0004003230643514193
V,0.2,0.19667346990452364,0.6458791208791209,0.6286105933936842,0.001834426731596396,0.6216270973888011,0.0009023967799263188
V,0.3,0.29104788716022784,0.6461538461538462,0.6290668735515528,0.0008305730753045447,0.6228662988975334,0.0008468697426251021
V,0.4,0.3858652260195423,0.6458791208791209,0.6288823927842031,0.0009498141626007166,0.6245149863043998,0.0007117844551078924
V,0.5,0.48368138516997244,0.6445054945054945,0.6273007373823829,0.0020462976138702882,0.6265115468041615,0.0012136618741312856
TA,0.1,0.09910024865274573,0.6401098901098901,0.6221231525308328,0.006234749652191162,0.6207709894300334,0.0027261510768661385
TA,0.2,0.18949097313068725,0.6368131868131868,0.6192876267885723,0.005474334082443571,0.6210920918962834,0.0031607520071525253
TA,0.3,0.2831221337297133,0.6329670329670329,0.6149488095705115,0.006096648089169224,0.6196512000206065,0.004399724263523062
TA,0.4,0.3761118123573916,0.6293956043956044,0.6116060790617805,0.0041227022141892425,0.6203817344307426,0.00606328836650599
TA,0.5,0.47121116826003717,0.6228021978021978,0.6045218970790682,0.006641199456974521,0.619787610151356,0.003838708574858211
TV,0.1,0.09917333758958094,0.6453296703296704,0.6279042605627906,0.003263273920050225,0.620967413854413,0.002328432014405435
TV,0.2,0.18928332928731872,0.6425824175824176,0.6254806368699717,0.008507109118432526,0.6207341573695244,0.0022238341274726818
TV,0.3,0.2822546521304073,0.6357142857142857,0.6177424827041331,0.009227546902130419,0.6202621884065153,0.003215192637612938
TV,0.4,0.37503214262344026,0.6335164835164835,0.6156668696254581,0.006782690513034454,0.6198004678319013,0.005495011397270852
TV,0.5,0.4698069084967885,0.6302197802197802,0.6113743074450297,0.0073901767602778095,0.6196540350103393,0.0026105744933041007
AV,0.1,0.10625206053789174,0.6456043956043956,0.6279513577499458,0.002862047248709175,0.6213825012132485,0.0009015639840448893
AV,0.2,0.20094650916263954,0.6447802197802198,0.6273791800475811,0.00386622454047954,0.6243840417081739,0.001425583498001446
AV,0.3,0.29921344978796255,0.6464285714285715,0.6296902341060532,0.0028370777174059015,0.6285600705184862,0.0016385120184963043
AV,0.4,0.39699720640431396,0.6453296703296704,0.6277154687742696,0.004906599794792344,0.6348899206566525,0.001837650300668264
AV,0.5,0.4973962638568093,0.6395604395604395,0.6215752394552558,0.0019587492085326695,0.642538615529474,0.0015527250837287267
TAV,0.1,0.10113686221846185,0.6417582417582417,0.6246670409997266,0.004420437292582891,0.6219020575789957,0.0015806661638608206
TAV,0.2,0.19286684229314982,0.6445054945054945,0.6272774916726638,0.0017858951145441771,0.6243751363305229,0.001897549302658918
TAV,0.3,0.2877887157661902,0.6425824175824176,0.6246711392752824,0.007959093963687484,0.6229680974061721,0.003852978754072936
TAV,0.4,0.3822776954825763,0.6387362637362637,0.6206584365830592,0.0026341849486428435,0.6265498466246024,0.004382311995596255
TAV,0.5,0.4789656638526,0.6302197802197802,0.6119522754356935,0.006416006613595917,0.6265573775735722,0.00416613949179041
