modality,target_missing_ratio,actual_missing_ratio_mean,accuracy_mean,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd
T,0.1,0.09389183468666377,0.6434065934065935,0.6252966657972779,0.00198431409316788,0.6207621978029128,0.0023349529334698673
T,0.2,0.1802691483133278,0.6420329670329671,0.6242112954676149,0.001156583614534054,0.6200320726223124,0.0025464990772899117
T,0.3,0.26939294380801065,0.6395604395604395,0.6216960398620335,0.004623030242993537,0.6188007420864389,0.004421793797832695
T,0.4,0.3580623452480023,0.6354395604395604,0.6173898154689362,0.008417087621796758,0.6211088388908148,0.004789094178307581
T,0.5,0.44845298755463664,0.6335164835164835,0.6147074634911277,0.009658211092121597,0.6199290040850698,0.003942741122788557
A,0.1,0.1058550570671866,0.6483516483516484,0.63027410205137,0.0009249375292606435,0.6212457516228723,0.0005106804311428292
A,0.2,0.20061769281196726,0.6464285714285715,0.6283384525393005,0.002095656114700508,0.6228328982595185,0.0007223685099284706
A,0.3,0.2993212751225456,0.6447802197802198,0.6263535353474577,0.0023231611513306787,0.6245835458440194,0.0005754591361478869
A,0.4,0.39708771585271907,0.6436813186813187,0.6244269624385465,0.0016999169954126135,0.6269904066158003,0.000645125502068244
A,0.5,0.49757687366762005,0.6434065934065935,0.6241009455366517,0.0012634751255613213,0.6300756066086431,0.0006102819271617274
V,0.1,0.10566389190217296,0.6458791208791209,0.6283765121566469,0.0018463840943559915,0.6210335972754715,0.0007329289953810099
V,0.2,0.19667346990452364,0.6453296703296704,0.6281190837065389,0.003053024724421207,0.6220661826669699,0.0007014227260171274
V,0.3,0.29104788716022784,0.6450549450549451,0.6282939772353332,0.000706633972377636,0.6234606676552366,0.0006180791382327858
V,0.4,0.3858652260195423,0.6445054945054945,0.6277237801473129,0.002111901007334259,0.6250637446088808,0.0009950674024161393
V,0.5,0.48368138516997244,0.6447802197802198,0.6280604484202859,0.0019192952613017403,0.6270577804513907,0.0013383580468212712
TA,0.1,0.09910024865274573,0.6423076923076924,0.6248164403386951,0.004379550063644033,0.6217779238800106,0.0032336736363741425
TA,0.2,0.18949097313068725,0.6392857142857142,0.6208958356770958,0.004903578327948867,0.6220671156899759,0.004666489707143802
TA,0.3,0.2831221337297133,0.6387362637362637,0.6195164081543665,0.007531018562715068,0.6211035041613147,0.005177329138545358
TA,0.4,0.3761118123573916,0.631043956043956,0.6117188711685742,0.004270308767810184,0.6201483363879572,0.006417692757266552
TA,0.5,0.47121116826003717,0.6247252747252747,0.6061073671748127,0.007483024644956583,0.6214806993382249,0.003353506754984379
TV,0.1,0.09917333758958094,0.6442307692307692,0.6268220032094625,0.0043771077443521,0.6213656612354967,0.0020110760613955793
TV,0.2,0.18928332928731872,0.6436813186813186,0.626334759514642,0.009131595705023319,0.6215440769874296,0.0017402192191193365
TV,0.3,0.2822546521304073,0.6420329670329671,0.6240171624437416,0.008026889068075674,0.6200399808209213,0.003215035790663595
TV,0.4,0.37503214262344026,0.637087912087912,0.6189675234112528,0.006216365068965231,0.6195931629736071,0.00554715318549979
TV,0.5,0.4698069084967885,0.6329670329670329,0.613861273344787,0.005648817515520403,0.6204443781278455,0.0023424014271023466
AV,0.1,0.10625206053789174,0.6472527472527473,0.6295962810317178,0.001805915706089842,0.6215638450707007,0.0008087260904245254
AV,0.2,0.20094650916263954,0.6450549450549451,0.627389958262216,0.002339551917517418,0.6247009338621385,0.0007634638596998727
AV,0.3,0.29921344978796255,0.646978021978022,0.6298128651785697,0.003736695281029938,0.6289301210132,0.000871803444472987
AV,0.4,0.39699720640431396,0.646978021978022,0.6290475935055594,0.003961631601957613,0.635309489654917,0.0010624826399785704
AV,0.5,0.4973962638568093,0.6403846153846153,0.622240204940226,0.0012268707360355631,0.6429602621590136,0.0009833246141019696
TAV,0.1,0.10113686221846185,0.6431318681318681,0.6258175614589454,0.0035721139828172213,0.6218579329242597,0.0021264039158206925
TAV,0.2,0.19286684229314982,0.6398351648351648,0.6222143193093218,0.005887654507085058,0.6259085711866686,0.0041090831281288655
TAV,0.3,0.2877887157661902,0.639010989010989,0.6210165323150998,0.01283204983631141,0.6263485524272495,0.006899675964313015
TAV,0.4,0.3822776954825763,0.6321428571428571,0.6133669168630602,0.01282018104661517,0.6291259399985583,0.007942916020251628
TAV,0.5,0.4789656638526,0.625,0.6053427411016303,0.00575313882478639,0.6301712163999372,0.0068262464880570525
